Preferred_Contact_Method,Product_Category_Preferences
Email,"threat, beautiful, yes, class, back"
Email,"big, money"
Phone,"bar, speech"
Email,however
Phone,"able, already, order"
SMS,"north, become"
SMS,"available, share"
Email,area
Email,"realize, half"
Phone,"garden, government, produce, air, do"
Email,"watch, major, upon"
Phone,"impact, price"
Phone,"sport, economic, parent, certainly"
SMS,"ground, measure, ten, wall"
Phone,his
Email,"make, land"
Phone,"sure, writer, factor"
Phone,"word, risk, property, eight, hold"
SMS,"year, husband"
Email,"less, after"
SMS,"design, cell"
Email,"by, drive, dog"
SMS,"heart, create, keep, base"
SMS,mother
SMS,"Republican, camera, political, usually, until"
Email,"rock, above, mother, follow, within"
Email,"great, be"
SMS,"majority, catch"
SMS,"life, score"
Email,"control, onto"
Email,ago
SMS,"whom, task"
SMS,collection
Email,wife
SMS,"call, lose, paper, place"
Email,"arrive, only, identify, likely, evening"
Phone,"well, body, ever, own, may"
SMS,police
Email,"or, add"
Phone,"office, rise, activity"
Email,"end, knowledge, little"
SMS,"view, and"
Email,"individual, car, feel, significant"
Phone,"item, support, his, gun, tell"
SMS,"note, oil, offer, necessary"
Phone,"could, rise, owner"
SMS,"carry, network"
Email,"your, choose"
SMS,need
Phone,"hear, across, fish, wait, Mrs"
Phone,"education, represent, anyone"
Email,"hair, field"
SMS,of
SMS,"turn, expert, space, lose"
Email,bank
Phone,eye
Email,"official, quality, about"
Phone,"little, knowledge, admit"
Email,"wait, large, must, ago"
SMS,"position, trip"
Email,"music, modern"
Phone,"coach, everyone"
Phone,ten
SMS,"own, have"
SMS,"analysis, on, church"
Email,"everyone, politics, happen, lose"
SMS,"act, education, according, share"
SMS,"memory, science, choice"
Email,"common, enough, boy, best"
Phone,blue
SMS,"up, have, free, page"
SMS,"word, seem, work"
Email,"crime, per"
Email,"gun, production, ask"
Email,another
SMS,tell
Phone,"analysis, value, decade"
Email,"draw, performance, in"
SMS,"soon, end, pull, child"
Phone,"authority, moment"
SMS,"sell, stand, believe, rather, stock"
Email,"relationship, start, federal"
Phone,"money, range, item, place, fact"
Phone,firm
Email,sell
Phone,"even, her"
Phone,"rise, treat, just"
Phone,"claim, other, technology, phone"
SMS,"guy, forward, know"
Phone,area
Email,rest
Phone,"government, them, return, already, Mrs"
Email,"few, very, arrive"
SMS,"music, yeah, rise, he"
Phone,"friend, especially, interview, part, candidate"
Phone,"man, social, parent, almost, simply"
SMS,"offer, PM, soon, ability"
Email,"policy, government, site"
Phone,"piece, bit, particularly, participant, difficult"
Email,"specific, cold"
Email,"better, my, why, necessary, give"
Email,"help, turn, inside, memory"
SMS,"she, southern, class, hour, body"
Email,"hot, get, area, health"
Email,"step, idea, describe, wind"
Phone,"trial, bit"
SMS,"million, forward, strong, rich"
Email,"piece, attack, player, field, husband"
SMS,"charge, age"
Email,"store, very"
Email,"specific, allow"
Email,"what, themselves"
Phone,"decade, game"
Email,"go, cut, level, eye, thing"
SMS,"skill, he"
Email,"nothing, different, minute, significant"
Phone,"behavior, describe, everyone"
Email,push
Email,field
SMS,"serve, late, better"
Phone,"student, without, authority, prepare, leg"
Email,"artist, behind"
Phone,serve
Email,all
SMS,"year, go, capital, show"
Phone,"your, partner, minute, concern"
SMS,cut
SMS,"land, behavior"
Phone,"development, call, former"
Email,"certain, gun, into"
SMS,"west, step, crime"
Phone,"have, sport"
Phone,"story, police, often, purpose"
Phone,"early, issue, entire, often"
Phone,guy
Email,"help, sea, interview, support, hear"
Email,process
Phone,though
SMS,"group, somebody, find, home"
SMS,smile
Phone,"myself, toward, such, about, threat"
Email,role
Email,sea
SMS,"dog, standard"
SMS,"country, attack"
SMS,"sound, clear"
SMS,"even, choose, forget, recently"
Email,as
Email,matter
SMS,"employee, think"
Email,"test, respond"
SMS,"choice, technology, employee, position"
