TransactionDate,Amount,Transaction_Type
2023-07-10 01:01:52,52.91,credit
2023-05-07 02:05:13,303.69,credit
2024-01-28 21:28:00,84.89,debit
2023-07-02 04:58:46,396.86,credit
2024-01-13 03:17:42,124.98,debit
2024-02-29 07:19:15,95.67,debit
2023-08-14 02:07:58,229.46,debit
2023-04-10 23:50:17,39.31,debit
2023-05-01 15:29:41,181.21,debit
2023-10-30 20:20:42,78.89,debit
2023-07-03 23:08:38,240.88,debit
2023-04-21 02:49:04,460.17,credit
2023-07-03 00:59:05,495.03,credit
2023-10-07 03:08:40,69.65,credit
2023-08-08 19:50:37,26.43,debit
2023-10-29 14:52:32,81.38,credit
2023-12-17 05:32:32,364.77,credit
2023-06-10 06:14:09,415.15,debit
2024-02-01 09:21:02,221.04,debit
2023-04-13 03:53:12,14.49,credit
2023-04-29 13:37:10,242.15,credit
2023-05-11 19:10:34,369.5,debit
2023-06-04 22:42:33,477.98,debit
2023-10-15 06:48:11,173.18,credit
2023-05-20 11:40:52,106.72,debit
2023-11-24 00:31:28,73.96,debit
2023-12-24 23:38:58,88.18,debit
2023-12-12 02:04:08,234.14,credit
2023-05-23 09:29:00,269.14,debit
2023-07-08 07:51:21,207.07,credit
2024-02-19 04:24:54,370.32,credit
2023-05-10 12:55:04,444.13,debit
2023-12-24 08:27:28,457.59,debit
2023-09-05 14:22:50,425.04,credit
2023-04-25 08:23:38,135.04,credit
2023-07-21 15:28:56,474.15,debit
2023-04-24 15:22:51,436.23,debit
2024-03-18 03:05:05,160.17,debit
2024-02-16 21:43:56,262.75,debit
2024-01-29 05:31:54,371.93,debit
2024-03-12 15:51:09,296.62,credit
2023-10-14 07:17:26,200.79,debit
2023-06-20 09:51:28,36.84,debit
2024-02-26 17:10:04,292.34,credit
2023-10-05 11:03:08,140.79,credit
2023-09-02 11:53:43,475.57,debit
2024-03-04 23:40:32,33.24,credit
2024-01-06 20:57:54,406.28,credit
2023-05-22 08:52:22,70.25,credit
2023-03-31 10:25:31,451.21,debit
2023-07-16 00:47:03,170.56,debit
2023-06-10 00:26:04,146.42,debit
2023-09-20 04:36:45,392.63,debit
2023-10-07 03:32:23,261.22,debit
2023-10-06 21:35:40,53.92,debit
2023-10-12 09:56:31,102.13,credit
2023-12-11 19:45:28,441.93,credit
2023-05-11 12:16:24,491.75,debit
2023-07-10 01:32:01,385.17,credit
2023-05-30 01:35:12,29.02,debit
2023-08-28 17:45:01,115.83,credit
2023-07-01 17:49:35,282.38,debit
2023-08-30 21:50:29,57.07,debit
2023-04-25 23:36:35,443.82,debit
2023-04-08 06:46:20,374.98,credit
2023-04-03 06:21:37,155.87,debit
2024-01-07 01:05:29,319.9,debit
2024-02-19 02:18:55,296.91,debit
2023-04-23 05:45:17,398.67,credit
2023-06-05 21:20:31,482.77,debit
2023-05-11 21:58:14,499.05,credit
2023-08-25 05:02:34,71.68,debit
2024-01-28 14:14:45,147.76,debit
2023-12-11 18:03:48,387.64,debit
2023-10-14 04:48:47,37.45,credit
2024-03-07 14:03:26,282.74,debit
2023-07-12 13:02:03,355.78,credit
2024-02-06 19:04:19,476.73,debit
2024-01-29 15:54:34,295.09,debit
2023-09-08 08:43:30,441.04,credit
2023-08-20 17:17:34,83.09,credit
2023-08-06 12:25:36,368.72,debit
2023-11-26 00:30:34,131.36,credit
2023-09-30 13:55:14,376.46,debit
2023-12-03 22:27:53,463.68,credit
2023-04-10 04:14:50,31.35,debit
